                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.6896,                 1.3121,                 1.8828,                 0.9114,                0.75916,                0.89514,                0.49687,                 1.5798,                 1.2203,                 1.9112,              0.0018911,              0.0018911,              0.0018911
                     46,                 1.6002,                 1.1962,                 1.8086,                0.91014,                0.84031,                0.92954,                0.53967,                 1.5123,                 1.0525,                 1.8822,              0.0018886,              0.0018886,              0.0018886
                     47,                 1.4941,                 1.1092,                 1.7071,                0.79666,                0.72775,                0.82484,                0.47395,                  1.504,                 2.3727,                 1.8852,              0.0018862,              0.0018862,              0.0018862
                     48,                 1.5024,                 1.1015,                 1.7008,                0.90336,                0.80366,                0.91203,                0.53652,                 1.4283,                 1.1285,                 1.7957,              0.0018837,              0.0018837,              0.0018837
                     49,                 1.5961,                 1.1812,                  1.823,                0.93527,                0.82461,                0.93426,                0.58096,                 1.3536,                 1.0554,                 1.7667,              0.0018812,              0.0018812,              0.0018812
                     50,                 1.4687,                 1.0578,                 1.6935,                0.87564,                0.72775,                0.87147,                0.55091,                 1.3477,                 1.2429,                 1.7094,              0.0018787,              0.0018787,              0.0018787
                     51,                 1.5704,                 1.1911,                 1.7165,                0.89498,                0.80628,                0.92302,                 0.5617,                 1.3696,                 1.0343,                 1.7295,              0.0018763,              0.0018763,              0.0018763
                     52,                  1.571,                 1.2065,                 1.8215,                0.91765,                0.81675,                0.92074,                0.54398,                 1.3878,                 1.1265,                 1.7636,              0.0018738,              0.0018738,              0.0018738
                     53,                 1.5166,                 1.1127,                 1.6969,                0.88239,                0.85079,                0.90809,                 0.5799,                 1.2845,                 1.2399,                 1.6869,              0.0018713,              0.0018713,              0.0018713
                     54,                 1.5247,                  1.086,                 1.6886,                0.89436,                0.86434,                0.93618,                0.57559,                 1.3692,                0.98788,                 1.7094,              0.0018688,              0.0018688,              0.0018688
                     55,                 1.5396,                  1.062,                 1.7087,                0.91925,                0.84817,                0.95419,                 0.6143,                 1.3012,                0.89919,                 1.6432,              0.0018663,              0.0018663,              0.0018663
                     56,                 1.4874,                 1.0167,                 1.6502,                0.91734,                0.90062,                0.96017,                0.61565,                 1.2814,                0.88401,                 1.6392,              0.0018639,              0.0018639,              0.0018639
                     57,                 1.4383,                0.98606,                 1.6417,                0.92435,                 0.7356,                0.87034,                 0.5377,                 1.3713,                 1.1108,                 1.7057,              0.0018614,              0.0018614,              0.0018614
                     58,                 1.5018,                0.99655,                 1.7021,                0.93064,                0.84304,                0.94069,                0.59397,                 1.3053,                0.91609,                  1.683,              0.0018589,              0.0018589,              0.0018589
                     59,                 1.4435,                 0.9539,                 1.6097,                0.87972,                0.80105,                0.91054,                0.56936,                 1.3336,                 1.0794,                 1.6741,              0.0018564,              0.0018564,              0.0018564
                     60,                 1.4194,                0.96147,                 1.5937,                0.84283,                0.85632,                0.90188,                 0.5661,                 1.3012,                 1.5173,                 1.6655,               0.001854,               0.001854,               0.001854
                     61,                 1.4296,                0.95521,                 1.6399,                0.89042,                0.89342,                0.94758,                 0.5847,                 1.2869,                0.95186,                 1.6747,              0.0018515,              0.0018515,              0.0018515
                     62,                 1.4305,                 1.0576,                 1.6206,                0.94499,                0.82723,                0.95379,                0.60886,                 1.2876,                  0.918,                 1.6413,               0.001849,               0.001849,               0.001849
                     63,                 1.4577,                0.96933,                 1.6771,                0.90609,                0.83355,                0.93079,                0.58156,                 1.2689,                 1.1661,                 1.6372,              0.0018465,              0.0018465,              0.0018465
                     64,                 1.3982,                0.98221,                 1.6226,                0.88713,                0.87173,                0.94911,                0.60496,                  1.248,                 1.0525,                 1.6261,              0.0018441,              0.0018441,              0.0018441
                     65,                  1.353,                0.93303,                 1.6039,                0.91171,                0.92147,                0.96577,                0.63633,                 1.2156,                0.88685,                 1.5835,              0.0018416,              0.0018416,              0.0018416
                     66,                 1.3729,                0.93012,                 1.5883,                0.91571,                0.92147,                0.97043,                0.64605,                 1.2227,                0.81876,                 1.5767,              0.0018391,              0.0018391,              0.0018391
                     67,                 1.3496,                0.83374,                 1.5678,                0.88176,                0.91756,                0.95096,                0.60196,                 1.2955,                0.85349,                 1.6634,              0.0018367,              0.0018367,              0.0018367
                     68,                 1.3908,                 1.0009,                 1.6049,                0.92969,                0.91885,                0.96444,                0.58796,                 1.2956,                 0.8165,                 1.6501,              0.0018342,              0.0018342,              0.0018342
                     69,                 1.4572,                0.95246,                 1.5923,                0.92475,                0.93296,                0.96845,                0.63513,                 1.2419,                 0.8273,                 1.6118,              0.0018317,              0.0018317,              0.0018317
                     70,                 1.3746,                0.98046,                 1.6156,                0.92803,                 0.8377,                0.92801,                0.61323,                  1.186,                 1.2964,                 1.5642,              0.0018292,              0.0018292,              0.0018292
                     71,                 1.3482,                0.91726,                 1.5442,                0.93753,                0.90838,                0.95968,                0.61912,                 1.2624,                0.85598,                 1.6386,              0.0018267,              0.0018267,              0.0018267
                     72,                 1.3193,                 0.8874,                 1.5626,                0.93978,                0.90052,                0.96903,                0.63949,                 1.2327,                0.77072,                  1.592,              0.0018243,              0.0018243,              0.0018243
                     73,                 1.3443,                0.90567,                 1.5783,                0.93751,                0.92408,                0.96896,                 0.6464,                  1.205,                0.75857,                 1.5614,              0.0018218,              0.0018218,              0.0018218
                     74,                 1.3298,                0.83943,                 1.4921,                0.93583,                0.91622,                0.96888,                0.64238,                 1.2004,                0.78174,                 1.5629,              0.0018193,              0.0018193,              0.0018193
                     75,                  1.415,                0.91287,                 1.5829,                 0.9116,                0.89085,                0.95742,                0.59937,                 1.2722,                0.89584,                 1.5963,              0.0018168,              0.0018168,              0.0018168
                     76,                 1.3478,                0.84982,                  1.488,                0.92513,                0.92932,                0.96808,                  0.649,                 1.1402,                0.98001,                 1.5236,              0.0018144,              0.0018144,              0.0018144
                     77,                 1.3588,                0.89974,                 1.5929,                0.93431,                 0.8822,                0.95386,                0.57528,                 1.3099,                 1.0263,                 1.6453,              0.0018119,              0.0018119,              0.0018119
                     78,                 1.4099,                0.89355,                 1.5596,                0.93565,                0.92932,                0.96973,                0.63439,                 1.2181,                0.80171,                 1.5647,              0.0018094,              0.0018094,              0.0018094
                     79,                 1.3896,                0.84931,                 1.5923,                0.87229,                0.90314,                0.94705,                0.62085,                 1.1838,                 1.0655,                 1.5457,              0.0018069,              0.0018069,              0.0018069
                     80,                 1.3135,                0.89677,                 1.5749,                0.90745,                0.92932,                0.95842,                0.62226,                   1.23,                0.87893,                 1.5909,              0.0018045,              0.0018045,              0.0018045
                     81,                 1.3697,                0.86255,                 1.5678,                0.93286,                0.93979,                0.97652,                0.63567,                 1.2351,                0.77796,                 1.5636,               0.001802,               0.001802,               0.001802
                     82,                  1.385,                0.82296,                 1.5713,                0.92763,                0.94503,                0.97473,                0.64354,                 1.1877,                0.72654,                 1.5475,              0.0017995,              0.0017995,              0.0017995
                     83,                 1.2568,                0.76238,                 1.4518,                0.92498,                0.90376,                0.96501,                0.64397,                  1.187,                0.74865,                 1.5244,              0.0017971,              0.0017971,              0.0017971
                     84,                 1.2683,                 0.7724,                 1.5209,                0.93235,                0.93717,                0.97072,                 0.6557,                 1.1925,                0.75486,                 1.5373,              0.0017946,              0.0017946,              0.0017946
